new_name,old_with_number,old_without_number,species_number,formula,multiplicity,net_charge
Ar,Ar,Ar,,Ar,1,0
C2H2O2,C2H2O2(26),C2H2O2,26,C2H2O2,1,0
C2H2O3_m1_35,C2H2O3(35),C2H2O3,35,C2H2O3,1,0
C2H2O3_m1_51,C2H2O3(51),C2H2O3,51,C2H2O3,1,0
C2H2O3_m1_52,C2H2O3(52),C2H2O3,52,C2H2O3,1,0
C2H2O3_m1_53,C2H2O3(53),C2H2O3,53,C2H2O3,1,0
C2H2O3_m3_77,C2H2O3(77),C2H2O3,77,C2H2O3,3,0
C2H2O3_m3_78,C2H2O3(78),C2H2O3,78,C2H2O3,3,0
C2H2O4_m1_36,C2H2O4(36),C2H2O4,36,C2H2O4,1,0
C2H2O4_m3_47,C2H2O4(47),C2H2O4,47,C2H2O4,3,0
C2H2O4_m3_48,C2H2O4(48),C2H2O4,48,C2H2O4,3,0
C2H2O4_m1_49,C2H2O4(49),C2H2O4,49,C2H2O4,1,0
C2H2O4_m3_79,C2H2O4(79),C2H2O4,79,C2H2O4,3,0
C2H2O4_m3_80,C2H2O4(80),C2H2O4,80,C2H2O4,3,0
C2H2O4_m1_81,C2H2O4(81),C2H2O4,81,C2H2O4,1,0
C2H2O4_m3_86,[O]C1OOC1[O](86),[O]C1OOC1[O],86,C2H2O4,3,0
C2H2O4_m3_87,C2H2O4(87),C2H2O4,87,C2H2O4,3,0
C2H2O4_m3_88,C2H2O4(88),C2H2O4,88,C2H2O4,3,0
C2H3O3_m2_62,C2H3O3(62),C2H3O3,62,C2H3O3,2,0
C2H3O3_m2_63,C2H3O3(63),C2H3O3,63,C2H3O3,2,0
C2H3O4_m2_64,C2H3O4(64),C2H3O4,64,C2H3O4,2,0
C2H3O4_m2_65,C2H3O4(65),C2H3O4,65,C2H3O4,2,0
C2H3O4_m2_82,[O]C1OOC1O(82),[O]C1OOC1O,82,C2H3O4,2,0
C2H3O4_m2_83,C2H3O4(83),C2H3O4,83,C2H3O4,2,0
C2H3O4_m2_84,C2H3O4(84),C2H3O4,84,C2H3O4,2,0
C2H3O4_m2_85,C2H3O4(85),C2H3O4,85,C2H3O4,2,0
C2H4O4_m3_66,C2H4O4(66),C2H4O4,66,C2H4O4,3,0
C2H4O4_m3_67,C2H4O4(67),C2H4O4,67,C2H4O4,3,0
C2H4O4_m3_68,O[CH]OO[CH]O(68),O[CH]OO[CH]O,68,C2H4O4,3,0
C2H4O4_m1_69,OC1OOC1O(69),OC1OOC1O,69,C2H4O4,1,0
C2H4O4_m1_70,C2H4O4(70),C2H4O4,70,C2H4O4,1,0
C2H4O4_m1_71,C2H4O4(71),C2H4O4,71,C2H4O4,1,0
C2HO2,C2HO2(23),C2HO2,23,C2HO2,2,0
C2HO3_m2_28,C2HO3(28),C2HO3,28,C2HO3,2,0
C2HO3_m2_29,C2HO3(29),C2HO3,29,C2HO3,2,0
C2HO3_m2_73,C2HO3(73),C2HO3,73,C2HO3,2,0
C2HO4_m2_40,C2HO4(40),C2HO4,40,C2HO4,2,0
C2HO4_m2_41,C2HO4(41),C2HO4,41,C2HO4,2,0
CH2O_m1,CH2O(5),CH2O,5,CH2O,1,0
CH2O_m3,[CH]O(24),[CH]O,24,CH2O,3,0
CH2O2_m1,CH2O2(20),CH2O2,20,CH2O2,1,0
CH2O2_m3_30,O[C]O(30),O[C]O,30,CH2O2,3,0
CH2O2_m3_50,[O]C[O](50),[O]C[O],50,CH2O2,3,0
CH2O2_m3_74,[O][CH]O(74),[O][CH]O,74,CH2O2,3,0
CH2O3_m1_21,CH2O3(21),CH2O3,21,CH2O3,1,0
CH2O3_m1_33,CH2O3(33),CH2O3,33,CH2O3,1,0
CH2O3_m3_42,[O]O[CH]O(42),[O]O[CH]O,42,CH2O3,3,0
CH2O3_m3_43,[O]CO[O](43),[O]CO[O],43,CH2O3,3,0
CH2O3_m3_61,[O]C([O])O(61),[O]C([O])O,61,CH2O3,3,0
CH2O4_m1_32,CH2O4(32),CH2O4,32,CH2O4,1,0
CH2O4_m3_44,[O]OC([O])O(44),[O]OC([O])O,44,CH2O4,3,0
CH2O4_m1_45,CH2O4(45),CH2O4,45,CH2O4,1,0
CH2O4_m3_56,[O]OO[CH]O(56),[O]OO[CH]O,56,CH2O4,3,0
CH2O4_m3_75,[O][CH]OOO(75),[O][CH]OOO,75,CH2O4,3,0
CH2O4_m3_76,[O]C([O])OO(76),[O]C([O])OO,76,CH2O4,3,0
CH3O2_m2_54,O[CH]O(54),O[CH]O,54,CH3O2,2,0
CH3O2_m2_55,[O]CO(55),[O]CO,55,CH3O2,2,0
CH3O3,[O]C(O)O(60),[O]C(O)O,60,CH3O3,2,0
CH3O4_m2_57,[O]OC(O)O(57),[O]OC(O)O,57,CH3O4,2,0
CH3O4_m2_58,O[CH]OOO(58),O[CH]OOO,58,CH3O4,2,0
CH3O4_m2_59,[O]C(O)OO(59),[O]C(O)OO,59,CH3O4,2,0
CHO,CHO(6),CHO,6,CHO,2,0
CHO2_m2_14,CHO2(14),CHO2,14,CHO2,2,0
CHO2_m2_25,CHO2(25),CHO2,25,CHO2,2,0
CHO2_m2_72,[CH]1OO1(72),[CH]1OO1,72,CHO2,2,0
CHO3_m2_10,CHO3(10),CHO3,10,CHO3,2,0
CHO3_m2_34,CHO3(34),CHO3,34,CHO3,2,0
CHO3_m2_37,[CH]1OOO1(37),[CH]1OOO1,37,CHO3,2,0
CHO3_m2_38,[O]C1OO1(38),[O]C1OO1,38,CHO3,2,0
CHO4_m2_31,CHO4(31),CHO4,31,CHO4,2,0
CHO4_m2_46,CHO4(46),CHO4,46,CHO4,2,0
CO_m1,CO(1),CO,1,CO,1,0
CO_m3,CO(22),CO,22,CO,3,0
CO2_m1,CO2,CO2,,CO2,1,0
CO2_m3,CO2(27),CO2,27,CO2,3,0
CO3,CO3(39),CO3,39,CO3,3,0
H,[H](4),[H],4,H,2,0
H2,H2(2),H2,2,H2,1,0
H2O,O(15),O,15,H2O,1,0
H2O2,OO(11),OO,11,H2O2,1,0
HO,[OH](8),[OH],8,HO,2,0
HO2,[O]O(7),[O]O,7,HO2,2,0
He,He,He,,He,1,0
N2,N2,N2,,N2,1,0
Ne,Ne,Ne,,Ne,1,0
O,[O](9),[O],9,O,3,0
O2_m3,O2(3),O2,3,O2,3,0
O2_m1,O2(16),O2,16,O2,1,0
O4,[O]OO[O](19),[O]OO[O],19,O4,3,0
